algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,atm,android,fast,0.474777448,0.727002967,0.81305638,0.884272997,0.902077151,0.678485666,80.28175855,0
atm_0,atm,android,glove,0.569732938,0.792284866,0.848664688,0.910979228,0.934718101,0.743761527,67.96658301,47541
atm_0,atm,android,w2v,0.471810089,0.759643917,0.81305638,0.887240356,0.910979228,0.683585742,91.31391954,16122
atm_0,atm,android,wm,0.572700297,0.798219585,0.863501484,0.908011869,0.925816024,0.74331149,29.72368097,13149
atm_0,craftdroid,android,fast,0.376854599,0.623145401,0.747774481,0.81305638,0.863501484,0.605942532,119.1859467,0
atm_0,craftdroid,android,glove,0.418397626,0.664688427,0.783382789,0.836795252,0.890207715,0.639930055,108.1219568,142817
atm_0,craftdroid,android,w2v,0.394658754,0.629080119,0.753709199,0.827893175,0.872403561,0.618538391,127.4330404,45375
atm_0,craftdroid,android,wm,0.456973294,0.738872404,0.845697329,0.896142433,0.916913947,0.682398012,36.16324401,4923
atm_0,intersection,android,fast,0.477744807,0.729970326,0.821958457,0.869436202,0.899109792,0.684519306,47.01238632,0
atm_0,intersection,android,glove,0.540059347,0.774480712,0.857566766,0.896142433,0.919881306,0.731174871,44.72033334,42198
atm_0,intersection,android,w2v,0.46884273,0.75074184,0.807121662,0.866468843,0.899109792,0.683036749,58.51903462,15355
atm_0,intersection,android,wm,0.53115727,0.789317507,0.851632047,0.899109792,0.919881306,0.726708901,17.84076524,13179
atm_0,union,android,fast,0.382789318,0.605341246,0.756676558,0.827893175,0.87537092,0.605226535,144.4869499,0
atm_0,union,android,glove,0.459940653,0.676557864,0.792284866,0.851632047,0.887240356,0.659782944,133.6390648,153387
atm_0,union,android,w2v,0.388724036,0.599406528,0.744807122,0.827893175,0.872403561,0.607716653,164.1986248,46724
atm_0,union,android,wm,0.43620178,0.738872404,0.848664688,0.908011869,0.922848665,0.67585216,43.85075903,4886
craftdroid,atm,android,fast,0.537091988,0.762611276,0.836795252,0.866468843,0.90504451,0.717181126,39.78270674,0
craftdroid,atm,android,glove,0.534124629,0.762611276,0.830860534,0.869436202,0.893175074,0.713065646,31.15183043,13871
craftdroid,atm,android,w2v,0.522255193,0.777448071,0.824925816,0.872403561,0.899109792,0.710349081,45.79832268,3858
craftdroid,atm,android,wm,0.540059347,0.801186944,0.827893175,0.872403561,0.899109792,0.720359413,13.28495789,296
craftdroid,craftdroid,android,fast,0.412462908,0.6884273,0.810089021,0.845697329,0.896142433,0.639120886,52.02092314,0
craftdroid,craftdroid,android,glove,0.454005935,0.712166172,0.801186944,0.830860534,0.869436202,0.659195893,44.56603265,42521
craftdroid,craftdroid,android,w2v,0.442136499,0.735905045,0.804154303,0.845697329,0.884272997,0.658791509,62.47347641,12403
craftdroid,craftdroid,android,wm,0.49851632,0.753709199,0.818991098,0.863501484,0.87537092,0.688089503,19.83219481,310
craftdroid,intersection,android,fast,0.516320475,0.744807122,0.818991098,0.854599407,0.899109792,0.704409921,42.77451158,0
craftdroid,intersection,android,glove,0.516320475,0.747774481,0.818991098,0.869436202,0.893175074,0.704142736,40.2437377,13723
craftdroid,intersection,android,w2v,0.50148368,0.759643917,0.816023739,0.869436202,0.902077151,0.699345018,43.36121917,3838
craftdroid,intersection,android,wm,0.519287834,0.786350148,0.824925816,0.872403561,0.899109792,0.710424392,13.29498506,292
craftdroid,union,android,fast,0.439169139,0.703264095,0.810089021,0.848664688,0.896142433,0.649977653,66.39483643,0
craftdroid,union,android,glove,0.480712166,0.715133531,0.795252226,0.830860534,0.869436202,0.666195433,42.50303173,42669
craftdroid,union,android,w2v,0.465875371,0.738872404,0.801186944,0.848664688,0.881305638,0.664955844,56.91242576,12423
craftdroid,union,android,wm,0.504451039,0.756676558,0.81305638,0.860534125,0.87537092,0.687914653,22.1872499,314
custom,atm,android,fast,0.572700297,0.789317507,0.878338279,0.913946588,0.934718101,0.742275097,59.63775563,0
custom,atm,android,glove,0.560830861,0.795252226,0.869436202,0.902077151,0.925816024,0.7343986,59.07347918,48594
custom,atm,android,w2v,0.56379822,0.810089021,0.878338279,0.916913947,0.940652819,0.742662799,64.79207253,16194
custom,atm,android,wm,0.640949555,0.836795252,0.887240356,0.919881306,0.928783383,0.779637883,18.64599514,140
custom,craftdroid,android,fast,0.50148368,0.753709199,0.821958457,0.881305638,0.916913947,0.697308648,92.44921041,0
custom,craftdroid,android,glove,0.519287834,0.777448071,0.851632047,0.887240356,0.922848665,0.718520569,89.13569069,140838
custom,craftdroid,android,w2v,0.486646884,0.792284866,0.851632047,0.913946588,0.928783383,0.702787713,104.4041424,44886
custom,craftdroid,android,wm,0.614243323,0.804154303,0.860534125,0.90504451,0.93768546,0.762863082,24.60601377,0
custom,intersection,android,fast,0.540059347,0.771513353,0.848664688,0.884272997,0.916913947,0.726392231,61.45915556,0
custom,intersection,android,glove,0.537091988,0.774480712,0.854599407,0.887240356,0.913946588,0.725658532,53.00559282,41190
custom,intersection,android,w2v,0.513353116,0.777448071,0.851632047,0.893175074,0.922848665,0.715307536,70.83705091,15055
custom,intersection,android,wm,0.581602374,0.818991098,0.872403561,0.908011869,0.928783383,0.753000643,18.21490908,181
custom,union,android,fast,0.554896142,0.786350148,0.839762611,0.902077151,0.931750742,0.725177057,90.24809909,0
custom,union,android,glove,0.540059347,0.741839763,0.839762611,0.902077151,0.925816024,0.711633352,87.4893868,156323
custom,union,android,w2v,0.53115727,0.792284866,0.869436202,0.913946588,0.934718101,0.716882015,115.2904589,47137
custom,union,android,wm,0.643916914,0.798219585,0.860534125,0.90504451,0.922848665,0.7676493,25.08895493,0
atm_0,atm,blogs,fast,0.513353116,0.774480712,0.845697329,0.899109792,0.916913947,0.708729316,68.64965129,163
atm_0,atm,blogs,glove,0.545994065,0.798219585,0.869436202,0.902077151,0.925816024,0.731905447,74.83784795,21761
atm_0,atm,blogs,w2v,0.510385757,0.768545994,0.833827893,0.890207715,0.908011869,0.702370126,87.9999032,7475
atm_0,atm,blogs,wm,0.617210682,0.810089021,0.866468843,0.902077151,0.916913947,0.765481182,26.7378552,12897
atm_0,craftdroid,blogs,fast,0.400593472,0.637982196,0.762611276,0.804154303,0.860534125,0.618721699,100.7226174,190
atm_0,craftdroid,blogs,glove,0.415430267,0.652818991,0.765578635,0.821958457,0.869436202,0.630878242,104.8553514,69653
atm_0,craftdroid,blogs,w2v,0.40652819,0.640949555,0.75074184,0.801186944,0.851632047,0.622766432,133.1394122,27585
atm_0,craftdroid,blogs,wm,0.483679525,0.741839763,0.87537092,0.910979228,0.934718101,0.700681077,36.82978821,4779
atm_0,intersection,blogs,fast,0.49851632,0.756676558,0.830860534,0.878338279,0.908011869,0.700894211,45.66615486,124
atm_0,intersection,blogs,glove,0.548961424,0.78041543,0.857566766,0.884272997,0.916913947,0.734601622,49.93685818,19956
atm_0,intersection,blogs,w2v,0.492581602,0.753709199,0.830860534,0.872403561,0.90504451,0.696353359,55.7702136,7139
atm_0,intersection,blogs,wm,0.557863501,0.768545994,0.851632047,0.887240356,0.90504451,0.734133309,18.01844192,12927
atm_0,union,blogs,fast,0.385756677,0.620178042,0.774480712,0.816023739,0.863501484,0.608496588,132.1631534,236
atm_0,union,blogs,glove,0.412462908,0.643916914,0.774480712,0.836795252,0.869436202,0.628077703,132.8753364,73198
atm_0,union,blogs,w2v,0.388724036,0.620178042,0.753709199,0.816023739,0.854599407,0.608454662,168.9600067,28290
atm_0,union,blogs,wm,0.471810089,0.744807122,0.866468843,0.908011869,0.931750742,0.696974788,45.97322297,4742
craftdroid,atm,blogs,fast,0.522255193,0.741839763,0.816023739,0.857566766,0.884272997,0.696524909,35.12089372,25
craftdroid,atm,blogs,glove,0.560830861,0.765578635,0.821958457,0.869436202,0.893175074,0.72479663,37.70439696,5962
craftdroid,atm,blogs,w2v,0.534124629,0.744807122,0.804154303,0.839762611,0.87537092,0.703462168,42.67406511,1888
craftdroid,atm,blogs,wm,0.548961424,0.762611276,0.804154303,0.839762611,0.869436202,0.710962539,13.53832197,155
craftdroid,craftdroid,blogs,fast,0.462908012,0.721068249,0.801186944,0.830860534,0.863501484,0.663716758,51.36980629,25
craftdroid,craftdroid,blogs,glove,0.49851632,0.727002967,0.801186944,0.827893175,0.87537092,0.682905046,65.50033617,21551
craftdroid,craftdroid,blogs,w2v,0.471810089,0.703264095,0.798219585,0.836795252,0.860534125,0.664179222,67.63079834,9081
craftdroid,craftdroid,blogs,wm,0.49851632,0.721068249,0.81305638,0.848664688,0.887240356,0.680175761,20.97878671,155
craftdroid,intersection,blogs,fast,0.495548961,0.729970326,0.807121662,0.851632047,0.881305638,0.687064899,42.73266244,25
craftdroid,intersection,blogs,glove,0.534124629,0.75074184,0.816023739,0.866468843,0.896142433,0.712780967,38.6807158,5916
craftdroid,intersection,blogs,w2v,0.504451039,0.724035608,0.798219585,0.836795252,0.87537092,0.688220305,44.19471645,1876
craftdroid,intersection,blogs,wm,0.537091988,0.735905045,0.798219585,0.833827893,0.869436202,0.702863533,13.80290198,151
craftdroid,union,blogs,fast,0.46884273,0.724035608,0.798219585,0.833827893,0.863501484,0.660803011,74.2701354,25
craftdroid,union,blogs,glove,0.53115727,0.732937685,0.801186944,0.833827893,0.872403561,0.693646969,85.15557361,21597
craftdroid,union,blogs,w2v,0.49851632,0.715133531,0.798219585,0.839762611,0.863501484,0.674185816,84.2342782,9093
craftdroid,union,blogs,wm,0.49851632,0.735905045,0.810089021,0.854599407,0.887240356,0.679744271,22.31965303,159
custom,atm,blogs,fast,0.566765579,0.78041543,0.848664688,0.878338279,0.913946588,0.730489975,59.05741954,165
custom,atm,blogs,glove,0.557863501,0.78041543,0.860534125,0.902077151,0.922848665,0.728303551,57.98955345,22106
custom,atm,blogs,w2v,0.557863501,0.774480712,0.854599407,0.87537092,0.893175074,0.724521049,68.94420242,7539
custom,atm,blogs,wm,0.646884273,0.818991098,0.866468843,0.896142433,0.922848665,0.774058665,20.47930002,122
custom,craftdroid,blogs,fast,0.510385757,0.768545994,0.845697329,0.890207715,0.928783383,0.709648006,78.79774547,186
custom,craftdroid,blogs,glove,0.519287834,0.777448071,0.860534125,0.893175074,0.916913947,0.718125412,92.30921745,68987
custom,craftdroid,blogs,w2v,0.49851632,0.771513353,0.845697329,0.893175074,0.922848665,0.704440439,108.2672806,27338
custom,craftdroid,blogs,wm,0.590504451,0.786350148,0.869436202,0.896142433,0.925816024,0.747915998,25.83408403,0
custom,intersection,blogs,fast,0.534124629,0.768545994,0.830860534,0.863501484,0.893175074,0.719461657,50.8813448,122
custom,intersection,blogs,glove,0.540059347,0.768545994,0.848664688,0.902077151,0.916913947,0.726126884,61.91031861,19604
custom,intersection,blogs,w2v,0.513353116,0.747774481,0.836795252,0.863501484,0.890207715,0.706236923,67.76216006,7012
custom,intersection,blogs,wm,0.575667656,0.777448071,0.845697329,0.887240356,0.919881306,0.737152236,19.40750504,163
custom,union,blogs,fast,0.566765579,0.768545994,0.845697329,0.90504451,0.934718101,0.727772854,88.03543615,236
custom,union,blogs,glove,0.534124629,0.771513353,0.857566766,0.90504451,0.934718101,0.715058713,90.91376734,74499
custom,union,blogs,w2v,0.534124629,0.753709199,0.836795252,0.908011869,0.922848665,0.707653975,112.2687831,28720
custom,union,blogs,wm,0.646884273,0.804154303,0.872403561,0.896142433,0.913946588,0.769059086,26.90544581,0
atm_0,atm,empty,edit_distance,0.534124629,0.777448071,0.839762611,0.896142433,0.922848665,0.724195261,69.03921199,50208
atm_0,atm,empty,jaccard,0.510385757,0.744807122,0.84272997,0.872403561,0.908011869,0.715738656,64.5379405,30565
atm_0,craftdroid,empty,edit_distance,0.359050445,0.62611276,0.765578635,0.818991098,0.863501484,0.6002352,101.795368,144376
atm_0,craftdroid,empty,jaccard,0.424332344,0.706231454,0.839762611,0.899109792,0.925816024,0.676369586,61.30567813,22467
atm_0,intersection,empty,edit_distance,0.492581602,0.765578635,0.857566766,0.893175074,0.910979228,0.706664191,30.52917433,44775
atm_0,intersection,empty,jaccard,0.46884273,0.735905045,0.857566766,0.881305638,0.90504451,0.69932864,32.09352612,30614
atm_0,union,empty,edit_distance,0.403560831,0.635014837,0.765578635,0.830860534,0.866468843,0.622853125,120.1893446,153658
atm_0,union,empty,jaccard,0.424332344,0.703264095,0.84272997,0.908011869,0.922848665,0.677339866,91.83933687,22391
craftdroid,atm,empty,edit_distance,0.510385757,0.735905045,0.81305638,0.863501484,0.896142433,0.696284445,41.02554083,17301
craftdroid,atm,empty,jaccard,0.454005935,0.715133531,0.804154303,0.821958457,0.860534125,0.672377942,36.58542919,7044
craftdroid,craftdroid,empty,edit_distance,0.439169139,0.703264095,0.804154303,0.851632047,0.872403561,0.650686593,53.91286159,39087
craftdroid,craftdroid,empty,jaccard,0.421364985,0.694362018,0.81305638,0.833827893,0.857566766,0.647960735,41.80565619,8356
craftdroid,intersection,empty,edit_distance,0.49851632,0.735905045,0.81305638,0.866468843,0.896142433,0.692252605,39.39937449,17096
craftdroid,intersection,empty,jaccard,0.445103858,0.700296736,0.804154303,0.824925816,0.860534125,0.666736522,31.94421506,6980
craftdroid,union,empty,edit_distance,0.448071217,0.703264095,0.792284866,0.839762611,0.866468843,0.651155247,56.36289406,39292
craftdroid,union,empty,jaccard,0.439169139,0.706231454,0.798219585,0.830860534,0.854599407,0.654084538,44.9853816,8420
custom,atm,empty,edit_distance,0.560830861,0.786350148,0.87537092,0.90504451,0.931750742,0.738171279,52.73914981,51605
custom,atm,empty,jaccard,0.56379822,0.765578635,0.866468843,0.878338279,0.913946588,0.738217364,47.81959558,6657
custom,craftdroid,empty,edit_distance,0.510385757,0.768545994,0.84272997,0.893175074,0.913946588,0.711937132,72.37421274,141288
custom,craftdroid,empty,jaccard,0.528189911,0.771513353,0.863501484,0.90504451,0.919881306,0.732008301,47.90162587,549
custom,intersection,empty,edit_distance,0.534124629,0.765578635,0.848664688,0.887240356,0.910979228,0.722191016,45.59265351,43501
custom,intersection,empty,jaccard,0.513353116,0.738872404,0.860534125,0.881305638,0.908011869,0.713185735,45.46154284,6836
custom,union,empty,edit_distance,0.560830861,0.765578635,0.845697329,0.902077151,0.922848665,0.729021026,91.52426052,155991
custom,union,empty,jaccard,0.56379822,0.792284866,0.848664688,0.910979228,0.919881306,0.746854179,44.33003426,524
atm_0,atm,googleplay,fast,0.510385757,0.771513353,0.833827893,0.887240356,0.910979228,0.706031383,69.09786487,223
atm_0,atm,googleplay,glove,0.519287834,0.765578635,0.845697329,0.890207715,0.931750742,0.711757581,69.35180926,16628
atm_0,atm,googleplay,w2v,0.519287834,0.765578635,0.830860534,0.890207715,0.90504451,0.70835577,86.13501191,1617
atm_0,atm,googleplay,wm,0.608308605,0.807121662,0.872403561,0.910979228,0.919881306,0.762631338,25.603266,12629
atm_0,craftdroid,googleplay,fast,0.409495549,0.652818991,0.765578635,0.827893175,0.866468843,0.630133322,107.891963,1556
atm_0,craftdroid,googleplay,glove,0.415430267,0.670623145,0.78041543,0.81305638,0.860534125,0.635048509,96.85398841,50980
atm_0,craftdroid,googleplay,w2v,0.40652819,0.635014837,0.747774481,0.821958457,0.869436202,0.623776707,125.7148907,17366
atm_0,craftdroid,googleplay,wm,0.507418398,0.747774481,0.878338279,0.913946588,0.940652819,0.715183766,35.74185705,4571
atm_0,intersection,googleplay,fast,0.504451039,0.759643917,0.84272997,0.87537092,0.913946588,0.706564102,44.44842148,208
atm_0,intersection,googleplay,glove,0.489614243,0.75074184,0.824925816,0.878338279,0.916913947,0.696643171,47.55826473,15680
atm_0,intersection,googleplay,w2v,0.504451039,0.756676558,0.839762611,0.87537092,0.90504451,0.705131524,51.4045341,1509
atm_0,intersection,googleplay,wm,0.578635015,0.786350148,0.857566766,0.890207715,0.90504451,0.750397587,17.73985314,12660
atm_0,union,googleplay,fast,0.403560831,0.637982196,0.771513353,0.839762611,0.869436202,0.623817458,137.0104189,1574
atm_0,union,googleplay,glove,0.418397626,0.670623145,0.792284866,0.824925816,0.857566766,0.6370872,124.9968245,53393
atm_0,union,googleplay,w2v,0.397626113,0.62611276,0.747774481,0.830860534,0.872403561,0.616502492,153.3962662,17799
atm_0,union,googleplay,wm,0.489614243,0.756676558,0.884272997,0.919881306,0.946587537,0.711545005,43.47961903,4533
craftdroid,atm,googleplay,fast,0.545994065,0.777448071,0.836795252,0.87537092,0.899109792,0.723470719,35.02720737,46
craftdroid,atm,googleplay,glove,0.519287834,0.753709199,0.804154303,0.857566766,0.878338279,0.699433463,42.64492345,4664
craftdroid,atm,googleplay,w2v,0.575667656,0.771513353,0.830860534,0.881305638,0.908011869,0.734973379,41.08848596,294
craftdroid,atm,googleplay,wm,0.587537092,0.795252226,0.845697329,0.884272997,0.896142433,0.746769102,13.16714072,51
craftdroid,craftdroid,googleplay,fast,0.474777448,0.709198813,0.795252226,0.839762611,0.872403561,0.670109975,60.9156785,373
craftdroid,craftdroid,googleplay,glove,0.46884273,0.706231454,0.774480712,0.824925816,0.869436202,0.66084439,52.28950262,14038
craftdroid,craftdroid,googleplay,w2v,0.489614243,0.703264095,0.798219585,0.836795252,0.890207715,0.677040936,70.17997551,7302
craftdroid,craftdroid,googleplay,wm,0.513353116,0.744807122,0.81305638,0.857566766,0.899109792,0.6958901,19.31364727,53
craftdroid,intersection,googleplay,fast,0.53115727,0.759643917,0.830860534,0.87537092,0.899109792,0.715795621,40.54186702,46
craftdroid,intersection,googleplay,glove,0.49851632,0.741839763,0.798219585,0.860534125,0.878338279,0.690521966,38.47283125,4636
craftdroid,intersection,googleplay,w2v,0.540059347,0.756676558,0.824925816,0.878338279,0.908011869,0.720522811,48.95570183,288
craftdroid,intersection,googleplay,wm,0.56379822,0.771513353,0.84272997,0.884272997,0.896142433,0.734073045,12.86097884,49
craftdroid,union,googleplay,fast,0.50148368,0.706231454,0.792284866,0.839762611,0.872403561,0.677057363,64.11415625,373
craftdroid,union,googleplay,glove,0.495548961,0.712166172,0.774480712,0.821958457,0.866468843,0.669237777,100.6684895,14066
craftdroid,union,googleplay,w2v,0.516320475,0.715133531,0.798219585,0.839762611,0.890207715,0.686948618,76.21710134,7308
craftdroid,union,googleplay,wm,0.522255193,0.747774481,0.798219585,0.857566766,0.896142433,0.696137379,21.8159399,55
custom,atm,googleplay,fast,0.557863501,0.792284866,0.893175074,0.919881306,0.943620178,0.736909367,59.86801529,227
custom,atm,googleplay,glove,0.557863501,0.768545994,0.836795252,0.884272997,0.919881306,0.724977756,57.33401036,17224
custom,atm,googleplay,w2v,0.578635015,0.804154303,0.890207715,0.928783383,0.946587537,0.749527218,66.43158841,1652
custom,atm,googleplay,wm,0.670623145,0.845697329,0.890207715,0.922848665,0.931750742,0.795891209,18.69631886,81
custom,craftdroid,googleplay,fast,0.548961424,0.783382789,0.866468843,0.908011869,0.931750742,0.737632419,81.13920808,1556
custom,craftdroid,googleplay,glove,0.543026706,0.774480712,0.836795252,0.887240356,0.910979228,0.726458566,75.5738821,50522
custom,craftdroid,googleplay,w2v,0.554896142,0.804154303,0.866468843,0.922848665,0.949554896,0.744862989,103.0662355,17245
custom,craftdroid,googleplay,wm,0.623145401,0.807121662,0.863501484,0.913946588,0.946587537,0.77049275,24.61412501,0
custom,intersection,googleplay,fast,0.534124629,0.774480712,0.869436202,0.902077151,0.922848665,0.727342443,49.29501987,208
custom,intersection,googleplay,glove,0.522255193,0.75074184,0.816023739,0.866468843,0.896142433,0.708404096,51.77225089,15362
custom,intersection,googleplay,w2v,0.554896142,0.78041543,0.866468843,0.90504451,0.928783383,0.738997377,63.56307578,1476
custom,intersection,googleplay,wm,0.617210682,0.816023739,0.87537092,0.902077151,0.934718101,0.771865857,18.41040707,122
custom,union,googleplay,fast,0.590504451,0.789317507,0.860534125,0.916913947,0.93768546,0.747761166,95.56285429,1578
custom,union,googleplay,glove,0.581602374,0.768545994,0.830860534,0.899109792,0.928783383,0.735145287,88.17107773,54730
custom,union,googleplay,w2v,0.599406528,0.810089021,0.860534125,0.925816024,0.949554896,0.756831028,97.12942481,18176
custom,union,googleplay,wm,0.649851632,0.804154303,0.872403561,0.913946588,0.931750742,0.77295361,25.47962379,0
atm_0,atm,standard,bert,0.551928783,0.759643917,0.839762611,0.87537092,0.890207715,0.716390687,3352.116131,12503
